date	    Avive builder	Ecosystem	Partnership Development	Community	all
2023-12-31	0 	            109,000,000         329,000,000     504,000,000 	942,000,000 
2024-01-31	0 	            39,000,000 	        29,000,000 	    162,000,000 	230,000,000 
2024-02-29	0 	            38,000,000 	        30,000,000 	    162,000,000 	230,000,000 
2024-03-31	0 	            39,000,000 	        29,000,000 	    162,000,000 	230,000,000 
2024-04-30	0 	            39,000,000 	        29,000,000 	    162,000,000 	230,000,000 
2024-05-31	0 	            39,000,000 	        29,000,000 	    162,000,000 	230,000,000 
2024-06-30	33,333,333 	    38,000,000 	        29,000,000 	    162,000,000 	262,333,333 
2024-07-31	33,333,333 	    39,000,000 	        29,000,000 	    162,000,000 	263,333,333 
2024-08-31	33,333,333 	    39,000,000 	        30,000,000 	    162,000,000 	264,333,333 
2024-09-30	33,333,333 	    39,000,000 	        29,000,000 	    162,000,000 	263,333,333 
2024-10-31	33,333,333 	    38,000,000 	        29,000,000 	    162,000,000 	262,333,333 
2024-11-30	33,333,333 	    39,000,000 	        29,000,000 	    162,000,000 	263,333,333 
2024-12-31	33,333,333 	    23,000,000 	        18,000,000 	    162,000,000 	236,333,333 
2025-01-31	33,333,333 	    24,000,000 	        17,000,000 	    162,000,000 	236,333,333 
2025-02-28	33,333,333 	    23,000,000 	        18,000,000 	    162,000,000 	236,333,333 
2025-03-31	33,333,333 	    23,000,000 	        17,000,000 	    162,000,000 	235,333,333 
2025-04-30	33,333,333 	    23,000,000 	        18,000,000 	    162,000,000 	236,333,333 
2025-05-31	33,333,333 	    24,000,000 	        17,000,000 	    162,000,000 	236,333,333 
2025-06-30	33,333,333 	    23,000,000 	        18,000,000 	    162,000,000 	236,333,333 
2025-07-31	33,333,333 	    23,000,000 	        17,000,000 	    162,000,000 	235,333,333 
2025-08-31	33,333,333 	    23,000,000 	        18,000,000 	    162,000,000 	236,333,333 
2025-09-30	33,333,333 	    24,000,000 	        17,000,000 	    162,000,000 	236,333,333 
2025-10-31	33,333,333 	    23,000,000 	        18,000,000 	    162,000,000 	236,333,333 
2025-11-30	33,333,333 	    23,000,000 	        17,000,000 	    162,000,000 	235,333,333 
2025-12-31	33,333,333 	    16,000,000 	        12,000,000 	    162,000,000 	223,333,333 
2026-01-31	33,333,333 	    15,000,000 	        11,000,000 	    126,000,000 	185,333,333 
2026-02-28	33,333,333 	    16,000,000 	        12,000,000 	    126,000,000 	187,333,333 
2026-03-31	33,333,333 	    15,000,000 	        12,000,000 	    126,000,000 	186,333,333 
2026-04-30	33,333,333 	    16,000,000 	        11,000,000 	    126,000,000 	186,333,333 
2026-05-31	33,333,333 	    15,000,000 	        12,000,000 	    126,000,000 	186,333,333 
2026-06-30	0 	            16,000,000 	        12,000,000 	    126,000,000 	154,000,000 
2026-07-31	0 	            15,000,000 	        11,000,000 	    126,000,000 	152,000,000 
2026-08-31	0 	            16,000,000 	        12,000,000 	    126,000,000 	154,000,000 
2026-09-30	0 	            15,000,000 	        12,000,000 	    126,000,000 	153,000,000 
2026-10-31	0 	            15,000,000 	        11,000,000 	    126,000,000 	152,000,000 
2026-11-30	0 	            16,000,000 	        12,000,000 	    126,000,000 	154,000,000 
2026-12-31	0 	            0 	                0 	            126,000,000 	126,000,000 
2027-01-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-02-28	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-03-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-04-30	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-05-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-06-30	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-07-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-08-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-09-30	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-10-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-11-30	0 	            0 	                0 	            78,000,000 	    78,000,000 
2027-12-31	0 	            0 	                0 	            78,000,000 	    78,000,000 
2028-01-31	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-02-29	0 	            0 	                0 	            32,000,000 	    32,000,000 
2028-03-31	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-04-30	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-05-31	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-06-30	0 	            0 	                0 	            32,000,000 	    32,000,000 
2028-07-31	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-08-31	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-09-30	0 	            0 	                0 	            33,000,000 	    33,000,000 
2028-10-31	0 	            0 	                0 	            32,000,000 	    32,000,000 
2028-11-30	0 	            0 	                0 	            33,000,008 	    33,000,008
